226.0,274.0,323.005154502,274.0,226.0,301.0,323.005154502,301.0
453.0,472.0,502.0,472.0,453.0,496.0,502.0,496.0
250.0,214.0,278.0,214.0,250.0,237.0,278.0,237.0
130.0,171.977284454,244.004385881,171.977284454,130.0,194.0,244.004385881,194.0
314.0,173.703428035,334.099751242,173.703428035,314.0,216.0,334.099751242,216.0
338.0,201.0,360.0,201.0,338.0,223.0,360.0,223.0
341.0,134.0,485.013888219,134.0,341.0,162.0,485.013888219,162.0
176.0,68.0,210.0,68.0,176.0,92.0,210.0,92.0
244.0,48.0,268.0,48.0,244.0,72.0,268.0,72.0
279.0,2.69569998727,302.086792761,2.69569998727,279.0,62.0,302.086792761,62.0
312.0,13.0,347.0142828,13.0,312.0,37.0,347.0142828,37.0
395.0,194.980007994,433.052595181,194.980007994,395.0,220.0,433.052595181,220.0
454.0,214.0,475.0,214.0,454.0,237.0,475.0,237.0
179.0,-34.0217288664,301.004098292,-34.0217288664,179.0,-11.0,301.004098292,-11.0
