67.0,8.0,88.0,8.0,67.0,35.0,88.0,35.0
34.0,102.982148548,65.0161248385,102.982148548,34.0,131.0,65.0161248385,131.0
204.0,109.980776337,271.029844099,109.980776337,204.0,136.0,271.029844099,136.0
281.0,107.0,368.005746937,107.0,281.0,132.0,368.005746937,132.0
424.0,157.941227268,456.015621187,157.941227268,424.0,192.0,456.015621187,192.0
228.0,175.0,260.0,175.0,228.0,210.0,260.0,210.0
74.0,142.980776337,163.0056178,142.980776337,74.0,169.0,163.0056178,169.0
26.0,197.0,60.0,197.0,26.0,228.0,60.0,228.0
180.0,285.909277966,195.033296378,285.909277966,180.0,308.0,195.033296378,308.0
50.0,352.0,183.003759345,352.0,50.0,378.0,183.003759345,378.0
227.0,363.984851962,259.015621187,363.984851962,227.0,397.0,259.015621187,397.0
241.0,447.0,273.015621187,447.0,241.0,472.0,273.015621187,472.0
266.0,414.0,366.004999875,414.0,266.0,438.0,366.004999875,438.0
286.0,451.0,304.0,451.0,286.0,484.0,304.0,484.0
302.0,483.978271134,377.00666637,483.978271134,302.0,507.0,377.00666637,507.0
